workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
03|Additional_Resources|pdf|25 Ways to Live on Less|Parts/Teaching Materials/Workshop 3/Resources/25 Ways to Live on Less.pdf|ok||
03|Additional_Resources|docx|3. How to Create a Successful Budget|Parts/Teaching Materials/Workshop 3/Resources/3. How to Create a Successful Budget.docx|ok||
03|Additional_Resources|pdf|3. How to Create a Successful Budget|Parts/Teaching Materials/Workshop 3/Resources/3. How to Create a Successful Budget.pdf|ok||
03|Additional_Resources|pdf|4. How to Create a Budget in Six Steps|Parts/Teaching Materials/Workshop 3/Resources/4. How to Create a Budget in Six Steps.pdf|ok||
03|Additional_Resources|pdf|5. 190 Online Resources for Saving Money|Parts/Teaching Materials/Workshop 3/Resources/5. 190 Online Resources for Saving Money.pdf|ok||
03|Additional_Resources|docx|6. 10 Easy Ways to Save Money|Parts/Teaching Materials/Workshop 3/Resources/6. 10 Easy Ways to Save Money.docx|ok||
03|Additional_Resources|pdf|6. 10 Easy Ways to Save Money.docx|Parts/Teaching Materials/Workshop 3/Resources/6. 10 Easy Ways to Save Money.docx.pdf|ok||
03|Additional_Resources|pdf|7. 99 Great Ways to Save Money|Parts/Teaching Materials/Workshop 3/Resources/7. 99 Great Ways to Save Money.pdf|ok||
03|Additional_Resources|docx|8. No brainer Money Saving Tips|Parts/Teaching Materials/Workshop 3/Resources/8. No-brainer Money-Saving Tips.docx|ok||
03|Additional_Resources|pdf|8. No brainer Money Saving Tips|Parts/Teaching Materials/Workshop 3/Resources/8. No-brainer Money-Saving Tips.pdf|ok||
03|Additional_Resources|docx|9. 11 Frugal Living Tips|Parts/Teaching Materials/Workshop 3/Resources/9. 11 Frugal Living Tips.docx|ok||
03|Additional_Resources|pdf|9. 11 Frugal Living Tips|Parts/Teaching Materials/Workshop 3/Resources/9. 11 Frugal Living Tips.pdf|ok||
03|Additional_Resources|pdf|Guide to SSI|Parts/Teaching Materials/Workshop 3/Resources/Guide to SSI.pdf|ok||
03|Additional_Resources|pdf|The Social Security Administration Red Book (2020)|Parts/Teaching Materials/Workshop 3/Resources/The Social Security Administration Red Book (2020).pdf|ok||
03|Additional_Resources|pdf|Tips for Family Money Management|Parts/Teaching Materials/Workshop 3/Resources/Tips for Family Money Management.pdf|ok||
03|Additional_Resources|pdf|Tips for Successful Budgeting|Parts/Teaching Materials/Workshop 3/Resources/Tips for Successful Budgeting.pdf|ok||
03|Additional_Resources|docx|Workshop 3 Additional Resources|Parts/Teaching Materials/Workshop 3/Resources/Workshop 3 Additional Resources.docx|ok||
03|Additional_Resources|pdf|Workshop 3 Additional Resources|Parts/Teaching Materials/Workshop 3/Resources/Workshop 3 Additional Resources.pdf|ok||
04|Handouts|docx|1. Second Chance Checking Accounts|Parts/Teaching Materials/Workshop 4/Handouts/1. Second Chance Checking Accounts.docx|ok||
04|Handouts|pdf|1. Second Chance Checking Accounts.docx|Parts/Teaching Materials/Workshop 4/Handouts/1. Second Chance Checking Accounts.docx.pdf|ok||
04|Handouts|pdf|2. How to Avoid Bank Fees|Parts/Teaching Materials/Workshop 4/Handouts/2. How to Avoid Bank Fees.pdf|ok||
04|Handouts|docx|3. How to Balance Your Checkbook|Parts/Teaching Materials/Workshop 4/Handouts/3. How to Balance Your Checkbook.docx|ok||
04|Handouts|pdf|3. How to Balance Your Checkbook.docx|Parts/Teaching Materials/Workshop 4/Handouts/3. How to Balance Your Checkbook.docx.pdf|ok||
04|Handouts|docx|Check Writing Activity Cards|Parts/Teaching Materials/Workshop 4/Handouts/Check Writing Activity Cards.docx|ok||
04|Handouts|pdf|Check Writing Activity Cards|Parts/Teaching Materials/Workshop 4/Handouts/Check Writing Activity Cards.pdf|ok||
04|Handouts|docx|Check Writing Activity Instructions|Parts/Teaching Materials/Workshop 4/Handouts/Check Writing Activity Instructions.docx|ok||
04|Handouts|pdf|Check Writing Activity Instructions|Parts/Teaching Materials/Workshop 4/Handouts/Check Writing Activity Instructions.pdf|ok||
04|Handouts|pdf|Practice Checks|Parts/Teaching Materials/Workshop 4/Handouts/Practice Checks.pdf|ok||
04|Handouts|docx|Workshop 4 Worksheet|Parts/Teaching Materials/Workshop 4/Handouts/Workshop 4 Worksheet.docx|ok||
04|Handouts|pdf|Workshop 4 Worksheet|Parts/Teaching Materials/Workshop 4/Handouts/Workshop 4 Worksheet.pdf|ok||
